"Deployment.Location.ID","Effort","Alces alces","Canis latrans","Canis lupus","Cervus canadensis","Equus caballus","Glaucomys sabrinus","Gulo gulo","Leporidae","Lepus americanus","Lynx canadensis","Marmota monax","Martes americana","Martes pennanti","Mephitis mephitis","Mustela","Odocoileus","Odocoileus hemionus","Odocoileus virginianus","Ovis canadensis","Puma concolor","Sciuridae","Tamiasciurus hudsonicus","Ursus americanus","Ursus arctos","Vulpes vulpes"
"BH-59",329,1,4,1,0,0,0,0,0,0,0,0,4,0,0,0,2,3,20,0,1,0,0,5,1,35
"BH-6",331,1,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,32,0,0,0,0,2,0,12
"BH-60",327,1,0,0,0,0,0,0,0,65,12,0,1,0,0,0,0,4,10,0,4,0,13,3,0,1
"BH-62",284,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,2,0,4
"BH-63",328,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,0,3,0,0,13,0,0
"BH-64",328,2,0,1,0,0,0,0,0,12,2,0,0,0,0,1,0,0,7,0,0,0,0,13,1,0
"BH-65",328,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,3,4,0,1,0,1,3,0,0
"BH-66",328,12,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1
"BH-67",325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,1,1,0
"BH-68",325,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,0,5,8,0,1,0,56,6,0,2
"BH-69",329,0,16,1,0,0,0,0,0,12,0,0,0,0,0,0,1,2,19,0,0,0,0,0,0,1
"BH-7",323,0,7,0,2,0,0,0,0,1,0,0,1,3,0,0,0,0,19,0,0,0,3,7,1,4
"BH-72",327,0,0,0,0,0,0,0,0,41,22,0,0,0,0,0,1,11,11,0,1,0,0,19,0,0
"BH-73",268,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0
"BH-74",335,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,0,0,0,0,17,1,3
"BH-75",328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,2,5,0
"BH-77",308,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,1,0,0,0,0,0
"BH-78",328,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,1,0,0,5,4,0
"BH-79",325,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,17,0,0,0,1,0,0,1
