"Deployment.Location.ID","Effort","Alces alces","Canis","Canis latrans","Canis lupus","Castor canadensis","Cervus canadensis","Erethizon dorsatum","Glaucomys sabrinus","Gulo gulo","Leporidae","Lepus americanus","Lynx canadensis","Lynx rufus","Marmota monax","Martes americana","Mephitis mephitis","Mustela erminea","Mustela frenata","Odocoileus","Odocoileus hemionus","Odocoileus virginianus","Ovis canadensis","Procyon lotor","Puma concolor","Rodentia","Sciuridae","Spermophilus columbianus","Spermophilus richardsonii","Tamiasciurus hudsonicus","Taxidea taxus","Ursus","Ursus americanus","Ursus arctos","Vulpes vulpes"
"CA-52",304,4,0,0,0,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,3,2,0
"CA-53",306,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,2,0
"CA-54",306,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,6,0,0
"CA-55",306,7,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA-56",313,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,16,0,0,0,0,0,0,0
"CA-57",312,4,0,0,0,1,0,0,0,0,0,29,1,0,0,0,0,0,0,2,10,3,0,0,0,0,0,0,0,0,0,0,0,5,8
"CA-58",311,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,58,0,0,2,0,0,0,0,0,0,0,3,0,0
"CA-6",308,10,0,4,0,0,0,0,0,0,0,28,0,0,0,1,0,0,2,0,4,28,0,0,0,0,0,0,0,0,0,0,0,1,1
"CA-61",304,16,0,0,0,0,4,0,0,1,0,8,2,0,0,0,0,0,0,0,4,38,0,0,0,0,0,0,0,0,0,0,4,6,0
"CA-62",306,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,6,0,0,4,1,0
"CA-63",306,16,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,3,1,1
"CA-64",306,20,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,12,0,0
"CA-65",311,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,10,0,0,0,0,0,0,4
"CA-66",310,12,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,19,0,0,0,0,0,0,2
"CA-67",309,17,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,2,0,2,0,1,0,0,0,0,0,4,0,20
"CA-68",310,1,0,1,0,0,1,0,0,0,0,2,0,0,0,3,1,0,0,1,6,9,0,0,0,0,0,0,0,0,0,0,7,1,4
"CA-7",304,9,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,1,19,0,0,0,0,0,0,0,1,0,0,1,5,1
"CA-70",306,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,3,0,0
"CA-71",306,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0
"CA-72",306,9,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,2,1,0
"CA-74",309,4,0,2,2,0,0,0,0,0,0,36,0,0,0,2,0,0,0,0,9,0,0,0,1,0,0,1,0,0,0,0,2,3,4
"CA-8",304,1,0,25,0,0,3,0,0,0,0,148,3,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,2,0,0,1,2,0
"CA-9",304,1,0,7,1,0,4,0,0,0,0,5,0,0,0,1,0,0,0,3,17,16,0,0,3,0,0,0,0,3,0,0,6,8,1
